Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.29,125483,0,0,0,0,0,0,0,0
2023.06.29,125484,0,0,0,0,0,0,0,0
2023.06.29,125485,0,0,0,0,0,0,0,0
2023.06.29,125486,0,0,0,0,0,0,0,0
2023.06.29,125487,0,0,0.78,0,0,0.78,0,0.78
2023.06.29,125488,0,0,0.61,0,0,0.61,0,0.61
2023.06.29,125559,0,0,0,0,0,0,0,0
2023.06.29,125560,0,0,0,0,0,0,0,0
2023.06.29,125561,0,0,0.8,0,0,0.8,0,0.8
2023.06.29,125570,0,0,0,0,0,0,0,0
2023.06.29,125571,0,0,0,0,0,0,0,0
2023.06.29,125572,0,0,0,0,0,0,0,0
2023.06.29,125573,0,0,0,0,0,0,0,0
2023.06.29,125574,0,62.83,1073.94,0,-111.47,962.47,576.9,385.57
2023.06.29,125575,0,0,5.94,0,0,5.94,0,5.94
2023.06.29,125576,0,0,0,0,0,0,0,0
2023.06.29,125622,0,0,-0.87,0,0,-0.87,0,-0.87
2023.06.29,125625,0,0,0,0,0,0,0,0
2023.06.29,125626,0,0,1.07,0,0,1.07,0,1.07
2023.06.29,125627,0,0,0.65,0,0,0.65,0,0.65
2023.06.29,125628,0,0,0,0,0,0,0,0
2023.06.29,125629,0,0,0,0,0,0,0,0
2023.06.29,125630,0,9.99,3143.93,0,-744.56,2399.37,246.36,2153.01
2023.06.29,125883,0,0,0,0,0,0,0,0
2023.06.29,125884,0,0,0,0,0,0,0,0
2023.06.29,125885,0,0,0,0,0,0,0,0
2023.06.29,125886,0,0,0,0,0,0,0,0
2023.06.29,125887,0,120.05,3886.39,500,-863.52,3522.87,0,3522.87
2023.06.29,125888,0,-42.31,66482.96,0,-65365.16,1117.8,0,1117.8
2023.06.29,125889,0,0,7454.75,0,-2758.6,4696.15,119.56,4576.59
2023.06.29,125890,0,0,6792.46,500,-2236.08,5056.38,680,4376.38
2023.06.29,125891,0,0,0,0,0,0,0,0
2023.06.29,125892,0,0,161.66,0,-74.17,87.49,10,77.49
2023.06.29,125893,0,0,0,0,0,0,0,0
2023.06.29,125894,0,0,0,0,0,0,0,0
2023.06.29,125895,0,0,0,0,0,0,0,0
2023.06.29,125896,0,0,0,0,0,0,0,0
2023.06.29,125897,0,0,5.03,0,0,5.03,0,5.03
2023.06.29,125898,0,113.09,303.41,0,5.16,308.57,10.87,297.7
2023.06.29,125899,0,0,39.61,0,0,39.61,0,39.61
2023.06.29,125900,0,0,0,0,0,0,0,0
2023.06.29,125901,0,0,0,0,0,0,0,0
2023.06.29,125902,0,0,0,0,0,0,0,0
2023.06.29,125903,0,0,0,0,0,0,0,0
2023.06.29,125904,0,0,0.35,0,0,0.35,0,0.35
2023.06.29,125905,0,0,2.86,0,0,2.86,0,2.86
2023.06.29,125906,0,0,0,0,0,0,0,0
