Deal,Login,Open Time,Type,Symbol,Volume,Open Price,Close Time,Close Price,Commission,Taxes,Agent,Swap,Profit,Pips,Comment
527674,14629293,2023.06.28 15:00:25,buy,usdcad,0.01,1.3265,2023.06.29 05:43:41,1.32733,0,0,0,0,0.63,83,
527689,2456243,2023.06.28 15:06:03,buy,xauusd,0.01,1908.92,2023.06.29 02:17:42,1905.7,0,0,0,-0.62,-3.22,-322,
527706,2313217,2023.06.25 23:11:53,buy,usousd,0.03,70.055,2023.06.29 14:01:52,70.109,0,0,0,-0.96,1.62,54,from #527693
527723,14629039,2023.06.28 15:17:06,buy,usousd,0.03,69.265,2023.06.29 01:47:09,69.507,0,0,0,-0.32,7.26,242,so: 29.8%/6.2/20.8
527724,14629039,2023.06.28 15:17:12,buy,usousd,0.03,69.281,2023.06.29 01:44:49,69.591,0,0,0,-0.32,9.3,310,so: 21.0%/8.7/41.6
527727,14629039,2023.06.28 15:17:32,buy,usousd,0.01,69.311,2023.06.29 00:45:58,69.42,0,0,0,-0.11,1.09,109,to #528063
527793,2456243,2023.06.28 15:39:23,buy,xauusd,0.01,1912.4,2023.06.29 12:35:26,1899.99,0,0,0,-0.62,-12.41,-1241,[sl]
527837,617021,2023.06.28 16:12:22,buy,audcad,0.01,0.87733,2023.06.29 12:28:58,0.87958,0,0,0,-0.11,1.69,225,
527879,14629293,2023.06.28 16:50:58,buy,nzdjpy,0.01,87.784,2023.06.29 01:17:11,87.834,0,0,0,0,0.34,50,
527881,126039,2023.06.28 16:54:46,buy,xauusd,0.1,1912.48,2023.06.29 01:17:59,1912.52,0,0,0,0,0.4,4,[tp]
527890,14629293,2023.06.28 16:59:32,buy,gbpchf,0.01,1.13403,2023.06.29 06:08:11,1.13421,0,0,0,0,0.2,18,
527915,14628866,2023.06.28 17:23:16,buy,eurjpy,0.01,157.478,2023.06.29 08:15:26,157.455,0,0,0,0,-0.16,-23,
527920,14628866,2023.06.28 17:29:09,buy,gbpaud,0.01,1.91278,2023.06.29 01:30:02,1.90961,0,0,0,0,-2.1,-317,[sl]
527956,14630043,2023.06.28 18:29:44,buy,nasusd,0.07,14993.2,2023.06.29 02:47:42,15016.5,0,0,0,-1.74,16.31,233,
527959,2257839,2023.06.28 18:42:45,buy,xauusd,0.01,1912.55,2023.06.29 14:49:59,1911.08,0,0,0,0,-1.47,-147,to #529063
527965,2313217,2023.06.28 19:01:04,buy,gbpjpy,0.1,182.526,2023.06.29 06:44:21,182.581,0,0,0,0,3.81,55,
